Name;Link;File
sparkfun;https://learn.sparkfun.com/tutorials/i2c/all;
texas instruments;https://www.ti.com/lit/ug/sprue11c/sprue11c.pdf?ts=1757507424341;sprue11c.pdf
texas instruments;https://www.ti.com/lit/an/sbaa565/sbaa565.pdf?ts=1757524239200;sbaa565.pdf
Handsom technology;https://www.handsontec.com/dataspecs/I2C_LCD_Interface.pdf;I2C_LCD_Interface.pdf
Handsom technology;https://handsontec.com/dataspecs/module/I2C_1602_LCD.pdf;I2C_1602_LCD.pdf
Aliexpress adapter board;https://fr.aliexpress.com/item/1005004726086089.html;S7f2532ecd9a840429052b7eb197b0e772.jpg_960x960q75.jpg_.avif
Mikrocontroller.net;https://www.mikrocontroller.net/attachment/521754/PCF8574_I2C_LCD_Cir_En.pdf;PCF8574_I2C_LCD_Cir_En.pdf
